ï»¿Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
296,negative,KickAndyMetroTV,0,sistem mike-marjinal bodoh orang  kickandy
297,negative,KickAndyMetroTV,0,stress kacau  kickandy
298,negative,KickAndyMetroTV,0,kesel banget coba posisi ahok  kickandy
299,negative,KickAndyMetroTV,0,coba pulang rumah mati ga yg urus miskin taruh apartemen  kickandy  suarahatiahok
300,negative,KickAndyMetroTV,0,orang bodoh orang malas
301,positive,MataNajwaMetroTV,15,tuju al misbah mata najwa kick andy program favorit
302,positive,MataNajwaMetroTV,0,metrotv mata najwa pancasila http metrotvnws znajqeb
303,positive,MataNajwaMetroTV,2,selera gue gatau suka banget nonton metro tv kalo ga kick andy mata najwa selera tua
304,positive,MataNajwaMetroTV,3,mantap mata najwa seru nih
305,positive,MataNajwaMetroTV,0,sahabat yuk nonton mata najwa metro tv ketua dpp pkb
306,positive,MataNajwaMetroTV,5,suara benar mata najwa
307,positive,MataNajwaMetroTV,5,selamat  najwashihab keluarga  metrotv prestasi yg dialog keren rugi klo lewat nonton mata najwa
308,positive,MataNajwaMetroTV,7, tvmatanajwa moga acara mata najwa metro tv acara favorit jaya kualitas
309,positive,MataNajwaMetroTV,5,menang mata najwa ok rt  metrotv dukung mata najwa program tv baik http tlgd nnocf
310,positive,MataNajwaMetroTV,2,mata najwa metrotv inspiratif
311,positive,MataNajwaMetroTV,5,tentram bahagia nonton mata najwa  metrotv
312,positive,MataNajwaMetroTV,4,mata najwa keren acara mata tajam silet
313,positive,MataNajwaMetroTV,7,mata najwa malam kayak seru banget
314,positive,MataNajwaMetroTV,2,mata najwa keren mantap
315,positive,MataNajwaMetroTV,15,keren tampil kandang lawan anies baswedan gemilang mata najwa metro tv
316,positive,MataNajwaMetroTV,3,romantis muas pirsa krn mata najwa sukses
317,positive,MataNajwaMetroTV,2,tarik ikut diskusi ahok - anis mata najwa http fbme kyynadc
318,positive,MataNajwaMetroTV,9,ahok pinter hebat debat acara mata najwa metro tv
319,positive,MataNajwaMetroTV,5,mata najwa metro tv pihak paslon untung ahok cerdas semangat allah sama
320,positive,MataNajwaMetroTV,12,bukti mata najwa ahok hebat anis insaallah ahok jarot menang
321,positive,MataNajwaMetroTV,6,sip keren debat ala mata najwa keren ala kpud yg sdh atur utk lbh jaim
322,positive,MataNajwaMetroTV,19,moga jokowi acara mata najwa yg pelosok atas
323,positive,MataNajwaMetroTV,1,keren deh mata najwa
324,positive,MataNajwaMetroTV,2,metro tv keren inspiratif dgn mata najwa nya kick andy
325,positive,MataNajwaMetroTV,5,metro tv emang tv keren ya edukatif inspirasi mata najwa kick andy
326,positive,MataNajwaMetroTV,2,pimpin cerdas santun jujur bersih pilih aniessandipemersatu  matanajwametrotv
327,positive,MataNajwaMetroTV,6,liat pimpin yg islami cerdas teladan  matanajwametrotv
328,positive,MataNajwaMetroTV,7,rame banget malam  matanajwametrotv tunggu topik seru nambah wawas
329,positive,MataNajwaMetroTV,2,kado indah malam  najwashihab matanajwametrotv https instagramcom oowqcwgyj
330,positive,MataNajwaMetroTV,9,tjokro rumah teladan senioritas hidup kerdil  matanajwametrotv
331,positive,MataNajwaMetroTV,12,semangat bp bambang woidjojayanto  matanajwametrotv  savekpk
332,positive,MataNajwaMetroTV,7,ajar gusdur matanajwametrotv
333,positive,MataNajwaMetroTV,15,mata najwa sus bpk dahlan bpk faisal basri inspiratif  matanajwametrotv
334,positive,MataNajwaMetroTV,5,metro tv keren malam lg malam minggu rugi klo ga nonton mata najwa  matanajwametrotv
335,positive,MataNajwaMetroTV,4,merdeka hak bangsa  tanyajokowi  matanajwametrotv
336,positive,MataNajwaMetroTV,7,seru nih mata najwa malam  matanajwametrotv
337,positive,MataNajwaMetroTV,5,salut ahok  matanajwametrotv  hutjekardah
338,positive,MataNajwaMetroTV,2,super salut ahok  matanajwametrotv
339,positive,MataNajwaMetroTV,11,matanajwametrotv wibawa byk kataberkuasa sederhana kagum
340,positive,MataNajwaMetroTV,18,salut bangga sm bj habibie utk yg sekian kali  matanajwametrotv
341,positive,MataNajwaMetroTV,3,obrol santai tarik abraham slamet jk jokowi anis baswedan ganjar  matanajwametrotv
342,positive,MataNajwaMetroTV,1,anis baswedan jokowi ganjar pranowo jk abraham samad inspirasi indonesia keren  matanajwametrotv
343,positive,MataNajwaMetroTV,7,pimpin yg  matanajwametrotv
344,positive,MataNajwaMetroTV,16,rendah sederhana jokowi patut tiru  matanajwametrotv
345,positive,MataNajwaMetroTV,4,seru nih dahlan iskan ketua dpr  matanajwametrotv
346,positive,MataNajwaMetroTV,17,desa bebas rokok yg inspirasi  matanajwametrotv
347,positive,MataNajwaMetroTV,12,inspirasi cinta bjh hab  matanajwametrotv http mylocme ddto
348,positive,MataNajwaMetroTV,5,inspirasi  matanajwametrotv
349,positive,MataNajwaMetroTV,2,narasumber  matanajwametrotv
350,positive,MataNajwaMetroTV,3,cie yg lg job  matanajwa
351,negative,MataNajwaMetroTV,0,nonton mata najwa radikalisme  metrotv langsung berita seram
352,negative,MataNajwaMetroTV,0,mata najwa acara sampah yg cuman keruh suasana gue sbg ajar mending pilih ilc  matanajwa  najwashihab  metrotv
353,negative,MataNajwaMetroTV,0,aneh acara mata najwa metrotv ajar islam umat islam islamis edan tokoh islam manggut
354,negative,MataNajwaMetroTV,0,ilc dingin mata najwa provokasi metro tv emang tv sampah ga bosan pojok islam metro tv usak pancasila
355,negative,MataNajwaMetroTV,3,lapor metro tv kpi metro stres mata najwa kalah ilc
356,negative,MataNajwaMetroTV,0,kecewa mata najwa malam mutu narasi najwa bukti ga ngerti pihak bodoh
357,negative,MataNajwaMetroTV,2, metrotv acara mata najwa host nya  najwashihab suka sela bicara orang selesai gak sopan
358,negative,MataNajwaMetroTV,0,emosi  sakit hati nonton mata najwa  metro tv ganti chanel masakan aja
359,negative,MataNajwaMetroTV,0,isis mimin bom kp melayu maaf isis organisasi organisasi mbak mata najwa mimin
360,negative,MataNajwaMetroTV,0,foto  pakjk yg integritas tdk rusak reputasi mata najwa aja
361,negative,MataNajwaMetroTV,0,gara bantai teman anggota dpr mata najwa lu langsung benci metro tv
362,negative,MataNajwaMetroTV,0, metrotv muak sombong fz acara live mata najwa
363,negative,MataNajwaMetroTV,2,males lihat  metrotv biarpun yg org nomor dunia ogah  metrotv bawa acara mata najwa sdh dicontreng hitam
364,negative,MataNajwaMetroTV,0,sering masuk  metrotv gaul mata najwa engga diapa-apain ngadu
365,negative,MataNajwaMetroTV,0,udah bilang mata najwa metro tv aja anis fitnah
366,negative,MataNajwaMetroTV,0,mui keluar fatwa haram korupsi undang jg petinggi mui mata najwa
367,negative,MataNajwaMetroTV,0,bravo mata najwa debat pilgub dki kali garingkalah matanajwa yg gali lbh  matanajwa  metrotv
368,negative,MataNajwaMetroTV,2, bataldebatkarena kasihan pas debat mata najwa metrotv aja basuki nang ga bayang kemarin debat
369,negative,MataNajwaMetroTV,4,acara mata najwa kasihan anies jd bulan medsos hujat  ahokdjarotdirosi
370,negative,MataNajwaMetroTV,0,nyetel metro tv mata najwa debat kemaren bikin kesel rumah coba cek skrg msh ga rumah webnya
371,negative,MataNajwaMetroTV,0,sandi muncul sbg cawagub metro tv dlm acara mata najwa sandi sdh bohong
372,negative,MataNajwaMetroTV,0,saksi kejut dukung anies tipu acara mata najwa tipu  metrotv  matanajwa
373,negative,MataNajwaMetroTV,0, matanajwadebatjakarta kandang ahok metro tv mata najwa sampah yg sera anies pilih
374,negative,MataNajwaMetroTV,0,boikot metrotv tp ngintip mata najwa
375,negative,MataNajwaMetroTV,0,malas lihat anies bawa sial aja orang lihat ahok aja mata najwa
376,negative,MataNajwaMetroTV,0,nonton mata najwa  metrotv gw liat anies ngomong bikin ngantuk  anaktangsel
377,negative,MataNajwaMetroTV,0,mata najwa tuduh jelek lawan fon lawan
378,negative,MataNajwaMetroTV,2,liat mata najwa  metrotv males diskusi  basukibtp  aniesbaswedan ga imbang salah satu jual mimpi
379,negative,MataNajwaMetroTV,0,kayak mata najwa adu domba cagub putar pilkada dki nih
380,negative,MataNajwaMetroTV,0,gak penjara saksi aja palsu ahok  terbuktiteruji  matanajwametrotv
381,negative,MataNajwaMetroTV,0,anis anis rekam thn msh simpan loh sm metrotv gak malu ya nelen ludah sendri  matanajwametrotv
382,negative,MataNajwaMetroTV,0,bagus apa sistem jalan orang yg sistem  matanajwametrotv
383,negative,MataNajwaMetroTV,0,ridwan bae tai tampang aja udah ngeselin ayo mbk nana bully trus si bae  matanajwametrotv
384,negative,MataNajwaMetroTV,0,miris liat atur skor sepakbola indonesia  matanajwametrotv
385,negative,MataNajwaMetroTV,0,pemuda perang lawan jajah pemuda lawan biasa buruk kunjung ubah  matanajwametrotv
386,negative,MataNajwaMetroTV,0,pasrah haha tai  matanajwametrotv  sepakbolamiliksiapa
387,negative,MataNajwaMetroTV,0,lo bilang ga kerjan ya  radityadika  matanajwametrotv
388,negative,MataNajwaMetroTV,0,pssi lacur hati nurani malu  matanajwametrotv
389,negative,MataNajwaMetroTV,0, matanajwametrotv jembatan comal blm akibatya padat rayap
390,negative,MataNajwaMetroTV,0,tegak langgar hukum bayar seragam tegak hukum rimba  matanajwa  matanajwametrotv
391,negative,MataNajwaMetroTV,0,wapresnya diketawain mulu bajusama staff hotel  celana robek  boediono  matanajwametrotv
392,negative,MataNajwaMetroTV,3,rt  putryvanvan pimpin mendongrak kokoh materi  matanajwametrotv
393,negative,MataNajwaMetroTV,0,tdk dg tonton km masuk dalam ubah ahok matanajwametrotv
394,negative,MataNajwaMetroTV,0,lembaga negara indonesia bobrok  matanajwametrotv
395,negative,MataNajwaMetroTV,0,org tolol bilang duga udh mencak bgt jd sangka  matanajwametrotv
396,negative,MataNajwaMetroTV,0,banget deh gw kesel klo orang debat pake emosi gin  matanajwametrotv
397,negative,MataNajwaMetroTV,0,orang miskin miskin klo sekolah pungut liar
398,negative,MataNajwaMetroTV,0,ga emosi cepat tua nonton  matanajwametrotv lihat  hotmansutapea emosi bicara
399,negative,MataNajwaMetroTV,0,dr tampil kyk preman tau bkin kisruh usak  matanajwametrotv
400,negative,MataNajwaMetroTV,0,aja ga belit muter ga buang ga mutu  matanajwametrotv
